Enclosure,Plot,Year,X,Y,SheepDensity,Grazing,Vegetation,Habitat,Altitude,Aconitum septentrionale ,Agrostis capillaris ,Alchemilla alpina,Alchemilla sp.,Andromeda polifolia,Antennaria alpina,Antennaria dioica,Anthoxanthum odoratum,Arctostaphylos alpinus ,Arctostaphylos uva-ursi ,Astragalus alpinus ,Bartsia alpina,Betula nana,Betula pubescens,Bistorta vivipara,Botrychium lanceolatum,Botrychium lunaria ,Campanula rotundifolia,Carex atrata,Carex bigelowii,Carex brunnescens,Carex nigra,Carex sp.,Carex vaginata,Cerastium alpinum,Cerastium cerastoides ,Cerastium fontanum,Cerastium sp.,Cirsium helenioides,Coeloglossum viride,Corallhiza trifida,Crepis paludosa,Deschampsia cespitosa,Deschampsia flexuosa,Diphasiastrum alpinum ,Empetrum sp.,Epilobium anagallidifolium,Epilobium lactiflorum,Epilobium sp.,Equisetum pratense,Equisetum sylvaticum ,Eriophorum angustifolium,Eriophorum lachtiflorum,Eriophorum vaginatum ,Euphrasia frigida,Festuca ovina,Festuca rubra,Fragaria vesca,Gentiana nivalis,Geranium sylvaticum,Geum rivale,Gymnocarpium dryopteris,Hieracium alpinum,Hieracium pilosella,Hieracium sp.,Huperzia selago,Juncus filiformis,Juncus trifidus,Juniperus communis,Leontodon autumnalis,Listera cordata,Loiseleuria procumbens ,Lotus corniculatus,Luzula multiflora,Luzula pilosa,Luzula sp. ,Lycopodium annotioum,Lycopodium clavatum,Maianthemum bifolium,Melampyrum pratense,Melampyrum sylvaticum,Melampyrum sp.,Milium efusum,Molinia caerulea,Myosotis decumbens,Nardus stricta,Omalotheca norvegica,Omalotheca supina,Oxyria digyna,Parnassia palustris,Pedicularis lapponica ,Phleum alpinum,Phyllodoce careulea ,Pinguicula vulgaris,Poa alpina,Poa pratensis,Populus tremula,Potentilla crantzii,Potentilla erecta,Potentilla sp.,Prunella vulgaris,Pyrola minor,Pyrola rotundifolia,Pyrola sp.,Ranunculus acris,Ranunculus platanifolius,Rhinanthus minor ,Rubus chamaemorus,Rubus saxatilis,Rumex acetosa,Rumex acetosella,Sagina procumbens,Sagina saginoides,Salix glauca ,Salix herbacea,Salix lanata,Salix lapponum ,Salix reticulata,Salix sp.,Saussurea alpina,Selaginella selaginoides ,Sibbaldia procumbens ,Silene dioica,Solidago virgaurea,Stellaria borealis,Taraxacum sp.,Thalictrum alpinum ,Trichophorum cespitosum,Trientalis europeae,Vaccinium myrtillus,Vaccinium uliginosum,Vaccinium vitis-idaea ,Veronica alpina,Veronica fruticans,Veronica sp,Viola biflora,Viola palustris,Viola sp.,plhcm,vascov,crycov,Liccov,Bryocov,shrubcov,shrubcm,baresoil,rockcov,treecov,treecm,rodentsfre,asrodfre
b,B1,2001,441240,6730521,80,High,Snowbed,Grassland,1309,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,16,2,0,0,0,0,0,0,0,0,0,0,0,0,16,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,11,0,2,0,0,0,0,0,0,6,0,0,0,0,1,11,0,0,0,0,0,0,0,0,7,75,80,15,65,0,0,3,0,0,0,NA,NA
b,B2,2001,441324,6730451,80,High,Snowbed,Grassland,1310,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,7,80,40,25,15,0,0,10,0,0,0,NA,NA
b,B3,2001,441296,6730410,80,High,Snowbed,Grassland,1311,0,0,0,0,0,0,0,14,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,12,0,0,13,1,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,4,0,0,0,0,11,0,0,0,0,0,0,5,0,0,0,0,0,0,6,9,16,0,0,0,0,0,4,0,5,70,50,40,10,0,0,10,10,0,0,NA,NA
b,B4,2001,441204,6730337,80,High,Dwarf-shrub,Heathland,1293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,8,50,70,45,25,0,0,15,0,0,0,NA,NA
b,B5,2001,441267,6730346,80,High,Dwarf-shrub,Heathland,1299,0,0,5,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,3,1,0,0,0,0,0,0,0,0,5,0,0,0,0,4,16,16,0,0,0,0,0,0,0,15,75,40,3,37,20,25,10,0,0,0,NA,NA
b,B6,2001,441244,6730163,80,High,Snowbed,Grassland,1227,0,0,16,0,0,0,0,7,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,8,16,0,0,0,0,0,12,0,0,7,75,20,5,15,0,0,15,0,0,0,NA,NA
b,B7,2001,441218,6730136,80,High,Snowbed,Grassland,1224,0,0,16,0,0,0,0,16,0,0,0,0,0,0,9,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,7,16,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,8,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3,8,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,5,8,0,0,0,16,0,0,0,0,6,0,2,0,0,16,0,0,5,85,60,3,57,0,0,10,0,0,0,NA,NA
b,B8,2001,441207,6730085,80,High,Lichen-ridge,Heathland,1219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,16,15,0,0,0,0,0,0,7,70,45,40,5,0,0,5,0,0,0,NA,NA
b,B9,2001,441230,6730047,80,High,Snowbed,Grassland,1215,0,0,3,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,11,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,2,0,0,0,0,1,0,0,0,1,0,0,5,1,0,0,0,0,0,1,7,0,15,80,60,0,60,0,0,5,0,0,0,NA,NA
b,B10,2001,441200,6730155,80,High,Lichen-ridge,Heathland,1244,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,13,15,0,0,0,0,0,0,5,70,70,70,0,0,0,5,0,0,0,NA,NA
